accuracy,auc,average_precision,balanced_accuracy,f1,feature_set,fold,high_state,model,model_family,n_test,n_train,positive_rate_pred,positive_rate_test,target,test_end,test_start,train_end,train_start
0.5938303341902313,0.5,0.40616966580976865,0.5,0.0,prevalence,1,high_q75,Prevalence,Prevalence,389,1427,0.0,0.40616966580976865,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.9562982005141388,0.9968491424187627,0.9954887400616367,0.9622034084059401,0.9486404833836859,target_lags,1,high_q75,AR_Logistic,AR,389,1427,0.44473007712082263,0.40616966580976865,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.532133676092545,0.6573236889692585,0.47319051091851977,0.4510521124445175,0.031914893617021274,external_only,1,high_q75,Exog_Logistic,Exog,389,1427,0.07712082262210797,0.40616966580976865,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.5938303341902313,0.7166694065428243,0.6754669243680009,0.5,0.0,external_only,1,high_q75,Exog_RandomForestClassifier,Exog,389,1427,0.0,0.40616966580976865,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.5938303341902313,0.5819496958737465,0.48601107070216437,0.5,0.0,external_only,1,high_q75,Exog_ExtraTreesClassifier,Exog,389,1427,0.0,0.40616966580976865,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.5681233933161953,0.7569181872979341,0.5537225196567261,0.49535590991287193,0.1683168316831683,arx_external_plus_target_lags,1,high_q75,ARX_Logistic,ARX,389,1427,0.11311053984575835,0.40616966580976865,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.5938303341902313,0.978793358540194,0.9411241116223626,0.5,0.0,arx_external_plus_target_lags,1,high_q75,ARX_RandomForestClassifier,ARX,389,1427,0.0,0.40616966580976865,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.5938303341902313,0.9507096279248177,0.8971086529929595,0.5,0.0,arx_external_plus_target_lags,1,high_q75,ARX_ExtraTreesClassifier,ARX,389,1427,0.0,0.40616966580976865,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.0,,,0.0,0.0,prevalence,2,high_q75,Prevalence,Prevalence,389,1816,0.0,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,1.0,target_lags,2,high_q75,AR_Logistic,AR,389,1816,1.0,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.6349614395886889,,,0.6349614395886889,0.7767295597484276,external_only,2,high_q75,Exog_Logistic,Exog,389,1816,0.6349614395886889,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.7069408740359897,,,0.7069408740359897,0.8283132530120482,external_only,2,high_q75,Exog_RandomForestClassifier,Exog,389,1816,0.7069408740359897,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.6786632390745502,,,0.6786632390745502,0.8085758039816233,external_only,2,high_q75,Exog_ExtraTreesClassifier,Exog,389,1816,0.6786632390745502,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.8791773778920309,,,0.8791773778920309,0.9357045143638851,arx_external_plus_target_lags,2,high_q75,ARX_Logistic,ARX,389,1816,0.8791773778920309,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,1.0,arx_external_plus_target_lags,2,high_q75,ARX_RandomForestClassifier,ARX,389,1816,1.0,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,1.0,arx_external_plus_target_lags,2,high_q75,ARX_ExtraTreesClassifier,ARX,389,1816,1.0,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.5948717948717949,0.5,0.40512820512820513,0.5,0.0,prevalence,3,high_q75,Prevalence,Prevalence,390,2205,0.0,0.40512820512820513,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.9102564102564102,0.9917066783064163,0.9881303183604431,0.9235595809690091,0.8997134670487107,target_lags,3,high_q75,AR_Logistic,AR,390,2205,0.4897435897435897,0.40512820512820513,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.40512820512820513,0.6120689655172413,0.46745562130177515,0.5,0.5766423357664234,external_only,3,high_q75,Exog_Logistic,Exog,390,2205,1.0,0.40512820512820513,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.40512820512820513,0.7883975338280227,0.658315570162158,0.5,0.5766423357664234,external_only,3,high_q75,Exog_RandomForestClassifier,Exog,390,2205,1.0,0.40512820512820513,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.4153846153846154,0.8602548013967699,0.7275462494909833,0.5086206896551724,0.5808823529411764,external_only,3,high_q75,Exog_ExtraTreesClassifier,Exog,390,2205,0.9897435897435898,0.40512820512820513,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.40512820512820513,0.6587734613705805,0.4994181383581552,0.5,0.5766423357664234,arx_external_plus_target_lags,3,high_q75,ARX_Logistic,ARX,390,2205,1.0,0.40512820512820513,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.5384615384615384,0.9853502837189001,0.9792497460345466,0.6120689655172413,0.6370967741935484,arx_external_plus_target_lags,3,high_q75,ARX_RandomForestClassifier,ARX,390,2205,0.8666666666666667,0.40512820512820513,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.5512820512820513,0.905622544740288,0.841648820542552,0.6228448275862069,0.6435845213849287,arx_external_plus_target_lags,3,high_q75,ARX_ExtraTreesClassifier,ARX,390,2205,0.8538461538461538,0.40512820512820513,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.6555269922879178,0.5,0.3444730077120823,0.5,0.0,prevalence,1,high_q90,Prevalence,Prevalence,389,1427,0.0,0.3444730077120823,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.9460154241645244,0.9993854258121159,0.998886305395554,0.9588235294117646,0.9273356401384083,target_lags,1,high_q90,AR_Logistic,AR,389,1427,0.39845758354755784,0.3444730077120823,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.7840616966580977,0.8729880011706175,0.7785766867440107,0.7910301434006439,0.7218543046357615,external_only,1,high_q90,Exog_Logistic,Exog,389,1427,0.4318766066838046,0.3444730077120823,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6555269922879178,0.7666812993854258,0.7747940617645978,0.5,0.0,external_only,1,high_q90,Exog_RandomForestClassifier,Exog,389,1427,0.0,0.3444730077120823,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6555269922879178,0.8094234708808897,0.7171339121936119,0.5,0.0,external_only,1,high_q90,Exog_ExtraTreesClassifier,Exog,389,1427,0.0,0.3444730077120823,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.7840616966580977,0.8841673983026046,0.7948369719042323,0.7963418203102136,0.7272727272727273,arx_external_plus_target_lags,1,high_q90,ARX_Logistic,ARX,389,1427,0.4473007712082262,0.3444730077120823,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6555269922879178,0.9960784313725489,0.9948437262593419,0.5,0.0,arx_external_plus_target_lags,1,high_q90,ARX_RandomForestClassifier,ARX,389,1427,0.0,0.3444730077120823,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6555269922879178,0.976660813579163,0.9393655525282816,0.5,0.0,arx_external_plus_target_lags,1,high_q90,ARX_ExtraTreesClassifier,ARX,389,1427,0.0,0.3444730077120823,tci_same_scale_STC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.0,,,0.0,0.0,prevalence,2,high_q90,Prevalence,Prevalence,389,1816,0.0,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,1.0,target_lags,2,high_q90,AR_Logistic,AR,389,1816,1.0,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.35475578406169667,,,0.35475578406169667,0.5237191650853891,external_only,2,high_q90,Exog_Logistic,Exog,389,1816,0.35475578406169667,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.6323907455012854,,,0.6323907455012854,0.7748031496062993,external_only,2,high_q90,Exog_RandomForestClassifier,Exog,389,1816,0.6323907455012854,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.3444730077120823,,,0.3444730077120823,0.5124282982791587,external_only,2,high_q90,Exog_ExtraTreesClassifier,Exog,389,1816,0.3444730077120823,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.6529562982005142,,,0.6529562982005142,0.7900466562986003,arx_external_plus_target_lags,2,high_q90,ARX_Logistic,ARX,389,1816,0.6529562982005142,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.8251928020565553,,,0.8251928020565553,0.9042253521126761,arx_external_plus_target_lags,2,high_q90,ARX_RandomForestClassifier,ARX,389,1816,0.8251928020565553,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.7866323907455013,,,0.7866323907455013,0.8805755395683453,arx_external_plus_target_lags,2,high_q90,ARX_ExtraTreesClassifier,ARX,389,1816,0.7866323907455013,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,prevalence,3,high_q90,Prevalence,Prevalence,390,2205,0.0,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.9256410256410257,,,0.9256410256410257,0.0,target_lags,3,high_q90,AR_Logistic,AR,390,2205,0.07435897435897436,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.3,,,0.3,0.0,external_only,3,high_q90,Exog_Logistic,Exog,390,2205,0.7,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.2846153846153846,,,0.2846153846153846,0.0,external_only,3,high_q90,Exog_RandomForestClassifier,Exog,390,2205,0.7153846153846154,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.09743589743589744,,,0.09743589743589744,0.0,external_only,3,high_q90,Exog_ExtraTreesClassifier,Exog,390,2205,0.9025641025641026,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.735897435897436,,,0.735897435897436,0.0,arx_external_plus_target_lags,3,high_q90,ARX_Logistic,ARX,390,2205,0.2641025641025641,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q90,ARX_RandomForestClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.4153846153846154,,,0.4153846153846154,0.0,arx_external_plus_target_lags,3,high_q90,ARX_ExtraTreesClassifier,ARX,390,2205,0.5846153846153846,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,prevalence,1,high_q75,Prevalence,Prevalence,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,target_lags,1,high_q75,AR_Logistic,AR,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.15681233933161953,,,0.15681233933161953,0.0,external_only,1,high_q75,Exog_Logistic,Exog,389,1427,0.8431876606683805,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,external_only,1,high_q75,Exog_RandomForestClassifier,Exog,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,external_only,1,high_q75,Exog_ExtraTreesClassifier,Exog,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.16709511568123395,,,0.16709511568123395,0.0,arx_external_plus_target_lags,1,high_q75,ARX_Logistic,ARX,389,1427,0.8329048843187661,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,1,high_q75,ARX_RandomForestClassifier,ARX,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,1,high_q75,ARX_ExtraTreesClassifier,ARX,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,prevalence,2,high_q75,Prevalence,Prevalence,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,target_lags,2,high_q75,AR_Logistic,AR,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q75,Exog_Logistic,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q75,Exog_RandomForestClassifier,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q75,Exog_ExtraTreesClassifier,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.9948586118251928,,,0.9948586118251928,0.0,arx_external_plus_target_lags,2,high_q75,ARX_Logistic,ARX,389,1816,0.005141388174807198,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,2,high_q75,ARX_RandomForestClassifier,ARX,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,2,high_q75,ARX_ExtraTreesClassifier,ARX,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,prevalence,3,high_q75,Prevalence,Prevalence,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,target_lags,3,high_q75,AR_Logistic,AR,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.8641025641025641,,,0.8641025641025641,0.0,external_only,3,high_q75,Exog_Logistic,Exog,390,2205,0.1358974358974359,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,external_only,3,high_q75,Exog_RandomForestClassifier,Exog,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,external_only,3,high_q75,Exog_ExtraTreesClassifier,Exog,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.8102564102564103,,,0.8102564102564103,0.0,arx_external_plus_target_lags,3,high_q75,ARX_Logistic,ARX,390,2205,0.18974358974358974,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q75,ARX_RandomForestClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q75,ARX_ExtraTreesClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,prevalence,1,high_q90,Prevalence,Prevalence,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,target_lags,1,high_q90,AR_Logistic,AR,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.8817480719794345,,,0.8817480719794345,0.0,external_only,1,high_q90,Exog_Logistic,Exog,389,1427,0.11825192802056556,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,external_only,1,high_q90,Exog_RandomForestClassifier,Exog,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,external_only,1,high_q90,Exog_ExtraTreesClassifier,Exog,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.699228791773779,,,0.699228791773779,0.0,arx_external_plus_target_lags,1,high_q90,ARX_Logistic,ARX,389,1427,0.30077120822622105,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,1,high_q90,ARX_RandomForestClassifier,ARX,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,1,high_q90,ARX_ExtraTreesClassifier,ARX,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,prevalence,2,high_q90,Prevalence,Prevalence,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,target_lags,2,high_q90,AR_Logistic,AR,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.8174807197943444,,,0.8174807197943444,0.0,external_only,2,high_q90,Exog_Logistic,Exog,389,1816,0.18251928020565553,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q90,Exog_RandomForestClassifier,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q90,Exog_ExtraTreesClassifier,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.7506426735218509,,,0.7506426735218509,0.0,arx_external_plus_target_lags,2,high_q90,ARX_Logistic,ARX,389,1816,0.2493573264781491,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,2,high_q90,ARX_RandomForestClassifier,ARX,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,2,high_q90,ARX_ExtraTreesClassifier,ARX,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,prevalence,3,high_q90,Prevalence,Prevalence,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,target_lags,3,high_q90,AR_Logistic,AR,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.9051282051282051,,,0.9051282051282051,0.0,external_only,3,high_q90,Exog_Logistic,Exog,390,2205,0.09487179487179487,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,external_only,3,high_q90,Exog_RandomForestClassifier,Exog,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,external_only,3,high_q90,Exog_ExtraTreesClassifier,Exog,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.8974358974358975,,,0.8974358974358975,0.0,arx_external_plus_target_lags,3,high_q90,ARX_Logistic,ARX,390,2205,0.10256410256410256,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q90,ARX_RandomForestClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q90,ARX_ExtraTreesClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.6143958868894601,0.5,0.3856041131105398,0.5,0.0,prevalence,1,high_q75,Prevalence,Prevalence,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.9897172236503856,0.9998326359832636,0.9997341927066523,0.9916317991631799,0.9868421052631579,target_lags,1,high_q75,AR_Logistic,AR,389,1427,0.39588688946015427,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.38303341902313626,0.29403068340306837,0.3095644068200628,0.42343096234309624,0.42857142857142855,external_only,1,high_q75,Exog_Logistic,Exog,389,1427,0.6940874035989717,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.6876011157601115,0.6956425610790856,0.5,0.0,external_only,1,high_q75,Exog_RandomForestClassifier,Exog,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.7316317991631799,0.7823965852798134,0.5,0.0,external_only,1,high_q75,Exog_ExtraTreesClassifier,Exog,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.5244215938303342,0.7999163179916318,0.6605391546662996,0.6129707112970711,0.6185567010309279,arx_external_plus_target_lags,1,high_q75,ARX_Logistic,ARX,389,1427,0.8611825192802056,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.9833472803347281,0.9816428387929639,0.5,0.0,arx_external_plus_target_lags,1,high_q75,ARX_RandomForestClassifier,ARX,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.9801813110181311,0.9704021153526551,0.5,0.0,arx_external_plus_target_lags,1,high_q75,ARX_ExtraTreesClassifier,ARX,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.5,0.3856041131105398,0.5,0.0,prevalence,2,high_q75,Prevalence,Prevalence,389,1816,0.0,0.3856041131105398,tci_within_gold,2024-03-12,2022-03-17,2022-03-16,2013-04-08
