feature,group
gold_silver_ratio_spot_lag1,REL_GOLD_SILVER
gold_silver_ratio_spot_lag5,REL_GOLD_SILVER
gold_silver_ratio_spot_lag20,REL_GOLD_SILVER
gold_silver_ratio_spot_ma20_lag1,REL_GOLD_SILVER
gold_silver_ratio_spot_std20_lag1,REL_GOLD_SILVER
gpr_act_lag1,GPR
gpr_act_lag5,GPR
gpr_act_lag20,GPR
gpr_act_ma20_lag1,GPR
gpr_act_std20_lag1,GPR
gold_platinum_ratio_spot_logchg_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_spot_logchg_lag5,REL_GOLD_PLATINUM
gold_platinum_ratio_spot_logchg_lag20,REL_GOLD_PLATINUM
gold_platinum_ratio_spot_logchg_ma20_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_spot_logchg_std20_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_spot_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_spot_lag5,REL_GOLD_PLATINUM
gold_platinum_ratio_spot_lag20,REL_GOLD_PLATINUM
gold_platinum_ratio_spot_ma20_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_spot_std20_lag1,REL_GOLD_PLATINUM
platinum_palladium_ratio_spot_logchg_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot_logchg_lag5,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot_logchg_lag20,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot_logchg_ma20_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot_logchg_std20_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot_lag5,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot_lag20,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot_ma20_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot_std20_lag1,REL_PLATINUM_PALLADIUM
gold_silver_ratio_spot_logchg_lag1,REL_GOLD_SILVER
gold_silver_ratio_spot_logchg_lag5,REL_GOLD_SILVER
gold_silver_ratio_spot_logchg_lag20,REL_GOLD_SILVER
gold_silver_ratio_spot_logchg_ma20_lag1,REL_GOLD_SILVER
gold_silver_ratio_spot_logchg_std20_lag1,REL_GOLD_SILVER
gold_platinum_ratio_futures_logchg_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_futures_logchg_lag5,REL_GOLD_PLATINUM
gold_platinum_ratio_futures_logchg_lag20,REL_GOLD_PLATINUM
gold_platinum_ratio_futures_logchg_ma20_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_futures_logchg_std20_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_futures_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_futures_lag5,REL_GOLD_PLATINUM
gold_platinum_ratio_futures_lag20,REL_GOLD_PLATINUM
gold_platinum_ratio_futures_ma20_lag1,REL_GOLD_PLATINUM
gold_platinum_ratio_futures_std20_lag1,REL_GOLD_PLATINUM
platinum_palladium_ratio_futures_logchg_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures_logchg_lag5,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures_logchg_lag20,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures_logchg_ma20_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures_logchg_std20_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures_lag5,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures_lag20,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures_ma20_lag1,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures_std20_lag1,REL_PLATINUM_PALLADIUM
gold_silver_ratio_futures_logchg_lag1,REL_GOLD_SILVER
gold_silver_ratio_futures_logchg_lag5,REL_GOLD_SILVER
gold_silver_ratio_futures_logchg_lag20,REL_GOLD_SILVER
gold_silver_ratio_futures_logchg_ma20_lag1,REL_GOLD_SILVER
gold_silver_ratio_futures_logchg_std20_lag1,REL_GOLD_SILVER
gold_silver_ratio_futures_lag1,REL_GOLD_SILVER
gold_silver_ratio_futures_lag5,REL_GOLD_SILVER
gold_silver_ratio_futures_lag20,REL_GOLD_SILVER
gold_silver_ratio_futures_ma20_lag1,REL_GOLD_SILVER
gold_silver_ratio_futures_std20_lag1,REL_GOLD_SILVER
gpr_narrow_lag1,GPR
gpr_narrow_lag5,GPR
gpr_narrow_lag20,GPR
gpr_narrow_ma20_lag1,GPR
gpr_narrow_std20_lag1,GPR
gpr_broad_lag1,GPR
gpr_broad_lag5,GPR
gpr_broad_lag20,GPR
gpr_broad_ma20_lag1,GPR
gpr_broad_std20_lag1,GPR
gpr_threat_lag1,GPR
gpr_threat_lag5,GPR
gpr_threat_lag20,GPR
gpr_threat_ma20_lag1,GPR
gpr_threat_std20_lag1,GPR
gpr_lag1,GPR
gpr_lag5,GPR
gpr_lag20,GPR
gpr_ma20_lag1,GPR
gpr_std20_lag1,GPR
cftc_platinum_oi_change_ratio_lag1,CFTC_PLATINUM
cftc_platinum_oi_change_ratio_lag5,CFTC_PLATINUM
cftc_platinum_oi_change_ratio_lag20,CFTC_PLATINUM
cftc_platinum_oi_change_ratio_ma20_lag1,CFTC_PLATINUM
cftc_platinum_oi_change_ratio_std20_lag1,CFTC_PLATINUM
cftc_gold_managed_money_net_ratio_lag1,CFTC_GOLD
cftc_gold_managed_money_net_ratio_lag5,CFTC_GOLD
cftc_gold_managed_money_net_ratio_lag20,CFTC_GOLD
cftc_gold_managed_money_net_ratio_ma20_lag1,CFTC_GOLD
cftc_gold_managed_money_net_ratio_std20_lag1,CFTC_GOLD
cftc_gold_producer_merchant_net_ratio_lag1,CFTC_GOLD
cftc_gold_producer_merchant_net_ratio_lag5,CFTC_GOLD
cftc_gold_producer_merchant_net_ratio_lag20,CFTC_GOLD
cftc_gold_producer_merchant_net_ratio_ma20_lag1,CFTC_GOLD
cftc_gold_producer_merchant_net_ratio_std20_lag1,CFTC_GOLD
cftc_gold_swap_net_ratio_lag1,CFTC_GOLD
cftc_gold_swap_net_ratio_lag5,CFTC_GOLD
cftc_gold_swap_net_ratio_lag20,CFTC_GOLD
cftc_gold_swap_net_ratio_ma20_lag1,CFTC_GOLD
cftc_gold_swap_net_ratio_std20_lag1,CFTC_GOLD
cftc_gold_other_reportable_net_ratio_lag1,CFTC_GOLD
cftc_gold_other_reportable_net_ratio_lag5,CFTC_GOLD
cftc_gold_other_reportable_net_ratio_lag20,CFTC_GOLD
cftc_gold_other_reportable_net_ratio_ma20_lag1,CFTC_GOLD
cftc_gold_other_reportable_net_ratio_std20_lag1,CFTC_GOLD
cftc_gold_nonreportable_net_ratio_lag1,CFTC_GOLD
cftc_gold_nonreportable_net_ratio_lag5,CFTC_GOLD
cftc_gold_nonreportable_net_ratio_lag20,CFTC_GOLD
cftc_gold_nonreportable_net_ratio_ma20_lag1,CFTC_GOLD
cftc_gold_nonreportable_net_ratio_std20_lag1,CFTC_GOLD
cftc_gold_oi_change_ratio_lag1,CFTC_GOLD
cftc_gold_oi_change_ratio_lag5,CFTC_GOLD
cftc_gold_oi_change_ratio_lag20,CFTC_GOLD
cftc_gold_oi_change_ratio_ma20_lag1,CFTC_GOLD
cftc_gold_oi_change_ratio_std20_lag1,CFTC_GOLD
cftc_palladium_oi_lag1,CFTC_PALLADIUM
cftc_palladium_oi_lag5,CFTC_PALLADIUM
cftc_palladium_oi_lag20,CFTC_PALLADIUM
cftc_palladium_oi_ma20_lag1,CFTC_PALLADIUM
cftc_palladium_oi_std20_lag1,CFTC_PALLADIUM
cftc_palladium_oi_change_ratio_lag1,CFTC_PALLADIUM
cftc_palladium_oi_change_ratio_lag5,CFTC_PALLADIUM
cftc_palladium_oi_change_ratio_lag20,CFTC_PALLADIUM
cftc_palladium_oi_change_ratio_ma20_lag1,CFTC_PALLADIUM
cftc_palladium_oi_change_ratio_std20_lag1,CFTC_PALLADIUM
cftc_palladium_managed_money_net_ratio_lag1,CFTC_PALLADIUM
cftc_palladium_managed_money_net_ratio_lag5,CFTC_PALLADIUM
cftc_palladium_managed_money_net_ratio_lag20,CFTC_PALLADIUM
cftc_palladium_managed_money_net_ratio_ma20_lag1,CFTC_PALLADIUM
cftc_palladium_managed_money_net_ratio_std20_lag1,CFTC_PALLADIUM
cftc_palladium_producer_merchant_net_ratio_lag1,CFTC_PALLADIUM
cftc_palladium_producer_merchant_net_ratio_lag5,CFTC_PALLADIUM
cftc_palladium_producer_merchant_net_ratio_lag20,CFTC_PALLADIUM
cftc_palladium_producer_merchant_net_ratio_ma20_lag1,CFTC_PALLADIUM
cftc_palladium_producer_merchant_net_ratio_std20_lag1,CFTC_PALLADIUM
cftc_palladium_swap_net_ratio_lag1,CFTC_PALLADIUM
cftc_palladium_swap_net_ratio_lag5,CFTC_PALLADIUM
cftc_palladium_swap_net_ratio_lag20,CFTC_PALLADIUM
cftc_palladium_swap_net_ratio_ma20_lag1,CFTC_PALLADIUM
cftc_palladium_swap_net_ratio_std20_lag1,CFTC_PALLADIUM
cftc_gold_oi_lag1,CFTC_GOLD
cftc_gold_oi_lag5,CFTC_GOLD
cftc_gold_oi_lag20,CFTC_GOLD
cftc_gold_oi_ma20_lag1,CFTC_GOLD
cftc_gold_oi_std20_lag1,CFTC_GOLD
cftc_platinum_oi_lag1,CFTC_PLATINUM
cftc_platinum_oi_lag5,CFTC_PLATINUM
cftc_platinum_oi_lag20,CFTC_PLATINUM
cftc_platinum_oi_ma20_lag1,CFTC_PLATINUM
cftc_platinum_oi_std20_lag1,CFTC_PLATINUM
cftc_silver_nonreportable_net_ratio_lag1,CFTC_SILVER
cftc_silver_nonreportable_net_ratio_lag5,CFTC_SILVER
cftc_silver_nonreportable_net_ratio_lag20,CFTC_SILVER
cftc_silver_nonreportable_net_ratio_ma20_lag1,CFTC_SILVER
cftc_silver_nonreportable_net_ratio_std20_lag1,CFTC_SILVER
cftc_platinum_managed_money_net_ratio_lag1,CFTC_PLATINUM
cftc_platinum_managed_money_net_ratio_lag5,CFTC_PLATINUM
cftc_platinum_managed_money_net_ratio_lag20,CFTC_PLATINUM
cftc_platinum_managed_money_net_ratio_ma20_lag1,CFTC_PLATINUM
cftc_platinum_managed_money_net_ratio_std20_lag1,CFTC_PLATINUM
cftc_palladium_nonreportable_net_ratio_lag1,CFTC_PALLADIUM
cftc_palladium_nonreportable_net_ratio_lag5,CFTC_PALLADIUM
cftc_palladium_nonreportable_net_ratio_lag20,CFTC_PALLADIUM
cftc_palladium_nonreportable_net_ratio_ma20_lag1,CFTC_PALLADIUM
cftc_palladium_nonreportable_net_ratio_std20_lag1,CFTC_PALLADIUM
cftc_platinum_producer_merchant_net_ratio_lag1,CFTC_PLATINUM
cftc_platinum_producer_merchant_net_ratio_lag5,CFTC_PLATINUM
cftc_platinum_producer_merchant_net_ratio_lag20,CFTC_PLATINUM
cftc_platinum_producer_merchant_net_ratio_ma20_lag1,CFTC_PLATINUM
cftc_platinum_producer_merchant_net_ratio_std20_lag1,CFTC_PLATINUM
cftc_platinum_swap_net_ratio_lag1,CFTC_PLATINUM
cftc_platinum_swap_net_ratio_lag5,CFTC_PLATINUM
cftc_platinum_swap_net_ratio_lag20,CFTC_PLATINUM
cftc_platinum_swap_net_ratio_ma20_lag1,CFTC_PLATINUM
cftc_platinum_swap_net_ratio_std20_lag1,CFTC_PLATINUM
cftc_platinum_other_reportable_net_ratio_lag1,CFTC_PLATINUM
cftc_platinum_other_reportable_net_ratio_lag5,CFTC_PLATINUM
cftc_platinum_other_reportable_net_ratio_lag20,CFTC_PLATINUM
cftc_platinum_other_reportable_net_ratio_ma20_lag1,CFTC_PLATINUM
cftc_platinum_other_reportable_net_ratio_std20_lag1,CFTC_PLATINUM
cftc_platinum_nonreportable_net_ratio_lag1,CFTC_PLATINUM
cftc_platinum_nonreportable_net_ratio_lag5,CFTC_PLATINUM
cftc_platinum_nonreportable_net_ratio_lag20,CFTC_PLATINUM
cftc_platinum_nonreportable_net_ratio_ma20_lag1,CFTC_PLATINUM
cftc_platinum_nonreportable_net_ratio_std20_lag1,CFTC_PLATINUM
cftc_silver_oi_lag1,CFTC_SILVER
cftc_silver_oi_lag5,CFTC_SILVER
cftc_silver_oi_lag20,CFTC_SILVER
cftc_silver_oi_ma20_lag1,CFTC_SILVER
cftc_silver_oi_std20_lag1,CFTC_SILVER
cftc_silver_oi_change_ratio_lag1,CFTC_SILVER
cftc_silver_oi_change_ratio_lag5,CFTC_SILVER
cftc_silver_oi_change_ratio_lag20,CFTC_SILVER
cftc_silver_oi_change_ratio_ma20_lag1,CFTC_SILVER
cftc_silver_oi_change_ratio_std20_lag1,CFTC_SILVER
cftc_silver_managed_money_net_ratio_lag1,CFTC_SILVER
cftc_silver_managed_money_net_ratio_lag5,CFTC_SILVER
cftc_silver_managed_money_net_ratio_lag20,CFTC_SILVER
cftc_silver_managed_money_net_ratio_ma20_lag1,CFTC_SILVER
cftc_silver_managed_money_net_ratio_std20_lag1,CFTC_SILVER
cftc_silver_producer_merchant_net_ratio_lag1,CFTC_SILVER
cftc_silver_producer_merchant_net_ratio_lag5,CFTC_SILVER
cftc_silver_producer_merchant_net_ratio_lag20,CFTC_SILVER
cftc_silver_producer_merchant_net_ratio_ma20_lag1,CFTC_SILVER
cftc_silver_producer_merchant_net_ratio_std20_lag1,CFTC_SILVER
cftc_silver_swap_net_ratio_lag1,CFTC_SILVER
cftc_silver_swap_net_ratio_lag5,CFTC_SILVER
cftc_silver_swap_net_ratio_lag20,CFTC_SILVER
cftc_silver_swap_net_ratio_ma20_lag1,CFTC_SILVER
cftc_silver_swap_net_ratio_std20_lag1,CFTC_SILVER
cftc_silver_other_reportable_net_ratio_lag1,CFTC_SILVER
cftc_silver_other_reportable_net_ratio_lag5,CFTC_SILVER
cftc_silver_other_reportable_net_ratio_lag20,CFTC_SILVER
cftc_silver_other_reportable_net_ratio_ma20_lag1,CFTC_SILVER
cftc_silver_other_reportable_net_ratio_std20_lag1,CFTC_SILVER
cftc_palladium_other_reportable_net_ratio_lag1,CFTC_PALLADIUM
cftc_palladium_other_reportable_net_ratio_lag5,CFTC_PALLADIUM
cftc_palladium_other_reportable_net_ratio_lag20,CFTC_PALLADIUM
cftc_palladium_other_reportable_net_ratio_ma20_lag1,CFTC_PALLADIUM
cftc_palladium_other_reportable_net_ratio_std20_lag1,CFTC_PALLADIUM
financial_stress_lag1,RISK_STRESS
financial_stress_lag5,RISK_STRESS
financial_stress_lag20,RISK_STRESS
financial_stress_ma20_lag1,RISK_STRESS
financial_stress_std20_lag1,RISK_STRESS
industrial_production_lag1,INFLATION_GROWTH
industrial_production_lag5,INFLATION_GROWTH
industrial_production_lag20,INFLATION_GROWTH
industrial_production_ma20_lag1,INFLATION_GROWTH
industrial_production_std20_lag1,INFLATION_GROWTH
vix_close_logret_lag1,RISK_STRESS
vix_close_logret_lag5,RISK_STRESS
vix_close_logret_lag20,RISK_STRESS
vix_close_logret_ma20_lag1,RISK_STRESS
vix_close_logret_std20_lag1,RISK_STRESS
vix_close_lag1,RISK_STRESS
vix_close_lag5,RISK_STRESS
vix_close_lag20,RISK_STRESS
vix_close_ma20_lag1,RISK_STRESS
vix_close_std20_lag1,RISK_STRESS
wti_price_usd_lag1,OIL
wti_price_usd_lag5,OIL
wti_price_usd_lag20,OIL
wti_price_usd_ma20_lag1,OIL
wti_price_usd_std20_lag1,OIL
wti_price_usd_logret_lag1,OIL
wti_price_usd_logret_lag5,OIL
wti_price_usd_logret_lag20,OIL
wti_price_usd_logret_ma20_lag1,OIL
wti_price_usd_logret_std20_lag1,OIL
yield_10y_lag1,RATE
yield_10y_lag5,RATE
yield_10y_lag20,RATE
yield_10y_ma20_lag1,RATE
yield_10y_std20_lag1,RATE
real_rate_10y_approx_delta_lag1,RATE
real_rate_10y_approx_delta_lag5,RATE
real_rate_10y_approx_delta_lag20,RATE
real_rate_10y_approx_delta_ma20_lag1,RATE
real_rate_10y_approx_delta_std20_lag1,RATE
breakeven_10y_delta_lag1,INFLATION_GROWTH
breakeven_10y_delta_lag5,INFLATION_GROWTH
breakeven_10y_delta_lag20,INFLATION_GROWTH
breakeven_10y_delta_ma20_lag1,INFLATION_GROWTH
breakeven_10y_delta_std20_lag1,INFLATION_GROWTH
yield_10y_delta_lag1,RATE
yield_10y_delta_lag5,RATE
yield_10y_delta_lag20,RATE
yield_10y_delta_ma20_lag1,RATE
yield_10y_delta_std20_lag1,RATE
real_rate_10y_approx_lag1,RATE
real_rate_10y_approx_lag5,RATE
real_rate_10y_approx_lag20,RATE
real_rate_10y_approx_ma20_lag1,RATE
real_rate_10y_approx_std20_lag1,RATE
breakeven_10y_lag1,INFLATION_GROWTH
breakeven_10y_lag5,INFLATION_GROWTH
breakeven_10y_lag20,INFLATION_GROWTH
breakeven_10y_ma20_lag1,INFLATION_GROWTH
breakeven_10y_std20_lag1,INFLATION_GROWTH
dollar_index_logret_lag1,USD
dollar_index_logret_lag5,USD
dollar_index_logret_lag20,USD
dollar_index_logret_ma20_lag1,USD
dollar_index_logret_std20_lag1,USD
dollar_index_lag1,USD
dollar_index_lag5,USD
dollar_index_lag20,USD
dollar_index_ma20_lag1,USD
dollar_index_std20_lag1,USD
